"","NA06993"
"SNP_A-1720062",2.57
"SNP_A-1720162",2.52
"SNP_A-1721895",1.83
"SNP_A-1676140",2.62
"SNP_A-1672512",2.48
"SNP_A-1643741",2.09
"SNP_A-1643859",2.24
"SNP_A-1644059",2.23
"SNP_A-1713796",3.13
"SNP_A-1738535",3.98
"SNP_A-1701484",1.86
"SNP_A-1695743",2.23
"SNP_A-1644901",3.07
"SNP_A-1646857",2.3
"SNP_A-1652159",2.26
"SNP_A-1666778",1.7
"SNP_A-1714314",2.66
"SNP_A-1656403",1.89
"SNP_A-1743753",3.06
"SNP_A-1694309",2.56
"SNP_A-1671128",2.09
"SNP_A-1685733",2.23
"SNP_A-1685847",2.15
"SNP_A-1672102",2.15
"SNP_A-1698130",3.41
"SNP_A-1698262",2.77
"SNP_A-1731423",2.54
"SNP_A-1658851",2.17
"SNP_A-1672843",1.4
"SNP_A-1674366",2.87
"SNP_A-1714686",2.23
"SNP_A-1714780",2.13
"SNP_A-1717175",2.2
"SNP_A-1674737",2
"SNP_A-1722229",1.51
"SNP_A-1653107",2.54
"SNP_A-1653223",1.99
"SNP_A-1660272",2.45
"SNP_A-1700157",1.65
"SNP_A-1684242",1.68
"SNP_A-1665025",1.99
"SNP_A-1706982",1.75
"SNP_A-1707108",2.03
"SNP_A-1672410",2.19
"SNP_A-1719684",1.91
"SNP_A-1752525",3.13
"SNP_A-1705159",1.96
"SNP_A-1676882",2.15
"SNP_A-1697377",2.33
"SNP_A-1697494",1.97
"SNP_A-1701414",1.73
"SNP_A-1701540",1.97
"SNP_A-1706852",2.25
"SNP_A-1708417",1.77
"SNP_A-1708525",1.62
"SNP_A-1708730",2.57
"SNP_A-1647258",1.95
"SNP_A-1695410",1.85
"SNP_A-1695584",2.06
"SNP_A-1702354",2.4
"SNP_A-1702544",2.17
"SNP_A-1744002",1.86
"SNP_A-1751172",2.9
"SNP_A-1747383",2.18
"SNP_A-1702529",2.22
"SNP_A-1659960",1.92
"SNP_A-1660120",1.74
"SNP_A-1681252",1.77
"SNP_A-1660484",2.65
"SNP_A-1712784",2
"SNP_A-1651750",1.82
"SNP_A-1733462",1.95
"SNP_A-1717337",1.3
"SNP_A-1655810",1.51
"SNP_A-1655948",1.95
"SNP_A-1685612",1.92
"SNP_A-1649722",1.77
"SNP_A-1730651",2.3
"SNP_A-1659599",2.32
"SNP_A-1659707",2.37
"SNP_A-1659827",2.09
"SNP_A-1661138",2.34
"SNP_A-1703032",2.58
"SNP_A-1690813",1.91
"SNP_A-1738595",2.32
"SNP_A-1695994",2.3
"SNP_A-1651652",2.29
"SNP_A-1739027",1.55
"SNP_A-1707502",1.9
"SNP_A-1754725",1.77
"SNP_A-1744127",2.91
"SNP_A-1673044",3.51
"SNP_A-1649261",1.94
"SNP_A-1653918",2.35
"SNP_A-1696570",1.85
"SNP_A-1658808",2.75
"SNP_A-1667262",3.11
"SNP_A-1742253",2.7
"SNP_A-1740679",1.52
"SNP_A-1690777",1.96
"SNP_A-1665750",2.84
"SNP_A-1691487",2.48
"SNP_A-1734400",2.08
"SNP_A-1723982",2.66
"SNP_A-1712966",1.99
"SNP_A-1714538",1.83
"SNP_A-1716572",1.9
"SNP_A-1716884",2.23
"SNP_A-1717012",2.23
"SNP_A-1669559",2.11
"SNP_A-1735406",2.29
"SNP_A-1720941",2.6
"SNP_A-1744709",1.68
"SNP_A-1651475",2.25
"SNP_A-1651647",1.88
"SNP_A-1653013",3.03
"SNP_A-1653187",2.91
"SNP_A-1651248",3.47
"SNP_A-1689178",1.79
"SNP_A-1660321",1.94
"SNP_A-1733764",3.38
"SNP_A-1688976",2.08
"SNP_A-1657071",1.67
"SNP_A-1701800",1.8
"SNP_A-1701896",2.26
"SNP_A-1674227",2.15
"SNP_A-1688730",2.34
"SNP_A-1732283",2.34
"SNP_A-1647200",2.94
"SNP_A-1709059",1.7
"SNP_A-1721798",1.72
"SNP_A-1755921",3.28
"SNP_A-1756167",2.33
"SNP_A-1679256",2.42
"SNP_A-1730106",2.44
"SNP_A-1645221",1.53
"SNP_A-1726198",2.59
"SNP_A-1746081",2.13
"SNP_A-1751620",1.76
"SNP_A-1682178",2.17
"SNP_A-1755648",2.46
"SNP_A-1691817",1.73
"SNP_A-1693153",2.64
"SNP_A-1663224",2.07
"SNP_A-1718871",2.76
"SNP_A-1709683",1.95
"SNP_A-1741759",2.31
"SNP_A-1708316",2.26
"SNP_A-1747450",2.03
"SNP_A-1749050",2.02
"SNP_A-1749264",2.04
"SNP_A-1756531",1.86
"SNP_A-1649614",2.35
"SNP_A-1744876",2.22
"SNP_A-1745070",2.73
"SNP_A-1689897",1.9
"SNP_A-1682102",1.84
"SNP_A-1646740",2.77
"SNP_A-1721484",2.44
"SNP_A-1680208",1.88
"SNP_A-1704224",2.01
"SNP_A-1696129",1.98
"SNP_A-1696307",2.31
"SNP_A-1696481",2.13
"SNP_A-1705214",2.45
"SNP_A-1705326",2.46
"SNP_A-1659356",1.78
"SNP_A-1728847",2.55
"SNP_A-1679096",1.85
"SNP_A-1757527",2.45
"SNP_A-1729868",1.88
"SNP_A-1684991",1.7
"SNP_A-1721293",2.02
"SNP_A-1700963",1.91
"SNP_A-1730064",2.72
"SNP_A-1680550",2.21
"SNP_A-1677360",1.88
"SNP_A-1737579",1.65
"SNP_A-1737415",2.09
"SNP_A-1705033",2.61
"SNP_A-1745913",2.75
"SNP_A-1746027",2.53
"SNP_A-1748268",2.34
"SNP_A-1749758",2.16
"SNP_A-1675913",2.15
"SNP_A-1676023",1.9
"SNP_A-1677797",2.32
"SNP_A-1688189",1.87
"SNP_A-1689816",1.63
"SNP_A-1644874",2.43
"SNP_A-1741923",2.98
"SNP_A-1742152",1.91
"SNP_A-1742256",2.08
"SNP_A-1666557",1.91
"SNP_A-1682300",2.65
"SNP_A-1745622",2.42
"SNP_A-1703905",1.97
"SNP_A-1715705",1.92
"SNP_A-1644230",2.34
"SNP_A-1702235",1.74
"SNP_A-1655749",2.35
"SNP_A-1716623",2.13
"SNP_A-1698131",2.15
"SNP_A-1694544",1.63
"SNP_A-1668899",2.47
"SNP_A-1698588",2.22
"SNP_A-1699906",1.97
"SNP_A-1700180",2.02
"SNP_A-1643792",1.67
"SNP_A-1744517",3.01
"SNP_A-1646858",4.06
"SNP_A-1752352",1.9
"SNP_A-1752612",1.66
"SNP_A-1754575",2.15
"SNP_A-1755837",1.34
"SNP_A-1693777",1.76
"SNP_A-1717367",2.4
"SNP_A-1709233",2.01
"SNP_A-1688150",1.86
"SNP_A-1699202",1.42
"SNP_A-1672792",3
"SNP_A-1691369",1.64
"SNP_A-1735471",2.56
"SNP_A-1735632",2.34
"SNP_A-1697611",2.25
"SNP_A-1703447",1.77
"SNP_A-1744335",1.67
"SNP_A-1745001",1.95
"SNP_A-1653476",2.26
"SNP_A-1695937",1.63
"SNP_A-1746731",2.3
"SNP_A-1708424",1.83
"SNP_A-1754654",2.39
"SNP_A-1731088",2.25
"SNP_A-1731320",2.71
"SNP_A-1746897",1.82
"SNP_A-1732277",1.81
"SNP_A-1687470",2.45
"SNP_A-1736250",1.49
"SNP_A-1739854",2.04
"SNP_A-1739960",1.96
"SNP_A-1740054",1.87
"SNP_A-1694231",1.7
"SNP_A-1671308",1.69
"SNP_A-1671087",2.38
"SNP_A-1672415",2.24
"SNP_A-1672537",2.08
"SNP_A-1712231",2.13
"SNP_A-1722113",2.02
"SNP_A-1751997",2.02
"SNP_A-1758107",2.24
"SNP_A-1727109",1.89
"SNP_A-1732454",1.33
"SNP_A-1649674",2.38
"SNP_A-1687837",1.12
"SNP_A-1688013",2
"SNP_A-1647676",1.73
"SNP_A-1691331",2.33
"SNP_A-1651548",2.1
"SNP_A-1745121",1.93
"SNP_A-1676657",2.19
"SNP_A-1683435",2.47
"SNP_A-1687047",1.84
"SNP_A-1687141",2.13
"SNP_A-1687295",2.12
"SNP_A-1644862",3.14
"SNP_A-1749763",2.35
"SNP_A-1702723",1.86
"SNP_A-1692533",1.61
"SNP_A-1702217",2.15
"SNP_A-1718315",2.75
"SNP_A-1743080",2.77
"SNP_A-1681315",1.94
"SNP_A-1724014",2.04
"SNP_A-1728960",2.13
"SNP_A-1668276",1.94
"SNP_A-1651422",1.55
"SNP_A-1689745",1.84
"SNP_A-1732826",1.89
"SNP_A-1664679",1.25
"SNP_A-1675374",2.21
"SNP_A-1717132",2.06
"SNP_A-1730206",1.98
"SNP_A-1754106",1.75
"SNP_A-1662179",2.17
"SNP_A-1736387",2.48
"SNP_A-1664370",3.92
"SNP_A-1671324",1.4
"SNP_A-1668512",1.67
"SNP_A-1675789",2.27
"SNP_A-1677141",2.01
"SNP_A-1737243",2.06
"SNP_A-1694593",1.99
"SNP_A-1678724",2
"SNP_A-1735157",2.25
"SNP_A-1682948",1.63
"SNP_A-1695243",2.1
"SNP_A-1649204",2.24
"SNP_A-1654035",1.48
"SNP_A-1712513",1.89
"SNP_A-1748147",1.91
"SNP_A-1725420",2.82
"SNP_A-1671540",2.36
"SNP_A-1727448",2.47
"SNP_A-1723128",1.94
"SNP_A-1732545",2.63
"SNP_A-1695373",2.11
"SNP_A-1694479",2.2
"SNP_A-1719671",2.45
"SNP_A-1736232",2.41
"SNP_A-1658509",1.88
"SNP_A-1663549",3.42
"SNP_A-1663679",2.91
"SNP_A-1730306",2.02
"SNP_A-1735496",1.63
"SNP_A-1681990",1.75
"SNP_A-1712652",2.97
"SNP_A-1705981",2.26
"SNP_A-1672924",1.91
"SNP_A-1652157",2.26
"SNP_A-1654060",2.79
"SNP_A-1735805",2.53
"SNP_A-1652128",2.31
"SNP_A-1657247",2.55
"SNP_A-1706330",1.62
"SNP_A-1686976",1.96
"SNP_A-1706740",2.26
"SNP_A-1708081",2.26
"SNP_A-1708235",2.57
"SNP_A-1698775",1.41
"SNP_A-1652718",1.67
"SNP_A-1648138",2.48
"SNP_A-1715437",1.92
"SNP_A-1749473",2.23
"SNP_A-1732784",1.47
"SNP_A-1743214",2.05
"SNP_A-1743326",1.98
"SNP_A-1684983",2.35
"SNP_A-1712127",2.36
"SNP_A-1724636",2.18
"SNP_A-1729309",1.91
"SNP_A-1730572",1.84
"SNP_A-1730724",1.92
"SNP_A-1730816",2.06
"SNP_A-1730968",1.78
"SNP_A-1732619",2.14
"SNP_A-1736080",3.1
"SNP_A-1736194",2.62
"SNP_A-1736298",2.22
"SNP_A-1675684",3.35
"SNP_A-1641843",3.24
"SNP_A-1739525",2.3
"SNP_A-1680290",1.79
"SNP_A-1643866",1.72
"SNP_A-1736699",2.34
"SNP_A-1682694",1.65
"SNP_A-1656108",1.98
"SNP_A-1735186",2.68
"SNP_A-1753953",2.37
"SNP_A-1661012",2.11
"SNP_A-1664318",2.35
"SNP_A-1686818",2.34
"SNP_A-1690948",2.19
"SNP_A-1713272",2.01
"SNP_A-1713459",1.9
"SNP_A-1719399",1.48
"SNP_A-1647879",1.51
"SNP_A-1703225",2.66
"SNP_A-1702312",2.64
"SNP_A-1703624",2.14
"SNP_A-1720763",1.6
"SNP_A-1692514",2.22
"SNP_A-1681326",1.73
"SNP_A-1716164",2.56
"SNP_A-1652449",1.95
"SNP_A-1674179",1.5
"SNP_A-1662462",2.2
"SNP_A-1737746",2.13
"SNP_A-1688124",1.41
"SNP_A-1694665",1.87
"SNP_A-1705875",1.97
"SNP_A-1680577",2.34
"SNP_A-1680771",2.65
"SNP_A-1680879",3.17
"SNP_A-1717557",2.61
"SNP_A-1726779",1.69
"SNP_A-1742213",1.84
"SNP_A-1667869",2.1
"SNP_A-1669302",3.67
"SNP_A-1756242",2.77
"SNP_A-1693611",2
"SNP_A-1725525",2.7
"SNP_A-1725649",2.47
"SNP_A-1653518",2.21
"SNP_A-1705619",2.32
"SNP_A-1664985",1.96
"SNP_A-1708597",2
"SNP_A-1658714",2.44
"SNP_A-1729396",3.19
"SNP_A-1712536",2.27
"SNP_A-1657443",1.95
"SNP_A-1684276",2.59
"SNP_A-1719474",2.03
"SNP_A-1660037",2.69
"SNP_A-1650439",1.98
"SNP_A-1701423",3.01
"SNP_A-1656309",2.01
"SNP_A-1747799",1.81
"SNP_A-1734912",2.54
"SNP_A-1673386",1.98
"SNP_A-1728977",3.25
"SNP_A-1700950",1.7
"SNP_A-1701030",1.77
"SNP_A-1706202",2.33
"SNP_A-1708315",2.52
"SNP_A-1713295",2.34
"SNP_A-1700510",2.38
"SNP_A-1689697",2.52
"SNP_A-1722614",2.63
"SNP_A-1693145",1.71
"SNP_A-1700290",1.73
"SNP_A-1700403",2.08
"SNP_A-1700581",2.33
"SNP_A-1703778",1.9
"SNP_A-1689342",2.73
"SNP_A-1659102",2.8
"SNP_A-1753911",1.74
"SNP_A-1676856",2.17
"SNP_A-1699861",2.41
"SNP_A-1681344",2.33
"SNP_A-1685026",2.31
"SNP_A-1727322",1.95
"SNP_A-1730838",2.05
"SNP_A-1734311",2.53
"SNP_A-1734417",2.77
"SNP_A-1735882",1.97
"SNP_A-1735972",1.88
"SNP_A-1661787",2.61
"SNP_A-1663719",2.16
"SNP_A-1670879",1.89
"SNP_A-1672205",1.91
"SNP_A-1672319",2.01
"SNP_A-1727076",2.58
"SNP_A-1676404",2.17
"SNP_A-1740727",2.74
"SNP_A-1692006",2.22
"SNP_A-1647950",1.34
"SNP_A-1711496",1.64
"SNP_A-1705349",1.48
"SNP_A-1673822",1.6
"SNP_A-1745672",2.49
"SNP_A-1657201",2.27
"SNP_A-1725321",2.59
"SNP_A-1725417",1.88
"SNP_A-1738923",2.41
"SNP_A-1659345",2.98
"SNP_A-1661486",2.03
"SNP_A-1749249",1.5
"SNP_A-1669521",3.23
"SNP_A-1659612",2.02
"SNP_A-1644541",2.41
"SNP_A-1644020",2.77
"SNP_A-1644644",3.77
"SNP_A-1681954",2.7
"SNP_A-1698558",2.09
"SNP_A-1698736",2.18
"SNP_A-1698852",2.03
"SNP_A-1727493",2.51
"SNP_A-1681496",2.38
"SNP_A-1702588",1.94
"SNP_A-1702716",2.56
"SNP_A-1737832",3.15
"SNP_A-1751204",2.04
"SNP_A-1642178",1.72
"SNP_A-1642408",1.58
"SNP_A-1678146",2.18
"SNP_A-1644481",2.36
"SNP_A-1645849",2.04
"SNP_A-1646167",2.15
"SNP_A-1646407",2.07
"SNP_A-1648002",2.52
"SNP_A-1696917",2.55
"SNP_A-1700477",1.7
"SNP_A-1648528",1.83
"SNP_A-1666498",2.21
"SNP_A-1749122",2.44
"SNP_A-1690201",2.2
"SNP_A-1752370",1.61
"SNP_A-1690868",2.23
"SNP_A-1651692",1.83
"SNP_A-1711828",1.48
"SNP_A-1755106",2.16
"SNP_A-1669638",1.62
"SNP_A-1654231",2.47
"SNP_A-1716683",2.22
"SNP_A-1662836",2.76
"SNP_A-1659442",2.73
"SNP_A-1724393",2.22
"SNP_A-1727628",2
"SNP_A-1727768",1.57
"SNP_A-1739953",1.74
"SNP_A-1644962",2.05
"SNP_A-1659756",2.1
"SNP_A-1663935",2.57
"SNP_A-1664033",2.66
"SNP_A-1667245",2.52
"SNP_A-1754063",2.25
"SNP_A-1717990",1.84
"SNP_A-1692574",2.11
"SNP_A-1716271",2.34
"SNP_A-1716777",2.66
"SNP_A-1675013",2.84
"SNP_A-1725317",1.49
"SNP_A-1685178",2.18
"SNP_A-1654346",2.52
"SNP_A-1656380",1.64
"SNP_A-1739341",2.97
"SNP_A-1672404",2.4
"SNP_A-1710428",2.19
"SNP_A-1713653",2.51
"SNP_A-1739893",2.23
"SNP_A-1642529",1.56
"SNP_A-1721366",2.69
"SNP_A-1644881",2.17
"SNP_A-1645007",2.43
"SNP_A-1704765",3.31
"SNP_A-1704981",1.79
"SNP_A-1711724",1.75
"SNP_A-1751271",1.95
"SNP_A-1656717",3.05
"SNP_A-1709692",1.93
"SNP_A-1711061",2.31
"SNP_A-1711375",1.99
"SNP_A-1644077",2.71
"SNP_A-1691099",2.26
"SNP_A-1661085",2.17
"SNP_A-1696471",2.12
"SNP_A-1696585",1.22
"SNP_A-1698378",2.34
"SNP_A-1720060",2.24
"SNP_A-1747045",2.28
"SNP_A-1725392",2.42
"SNP_A-1747795",3.3
"SNP_A-1643079",2.01
"SNP_A-1698431",2.23
"SNP_A-1724260",2.51
"SNP_A-1666635",1.94
"SNP_A-1668099",1.97
"SNP_A-1725382",2.32
"SNP_A-1657259",2.98
"SNP_A-1719364",2.1
"SNP_A-1654281",2.63
"SNP_A-1691154",2.47
"SNP_A-1722999",2.24
"SNP_A-1662542",2.37
"SNP_A-1710171",3.12
"SNP_A-1699505",2.45
"SNP_A-1650479",2.04
"SNP_A-1651821",1.78
"SNP_A-1657328",2.57
"SNP_A-1658769",1.76
"SNP_A-1702478",1.88
"SNP_A-1672190",2.35
"SNP_A-1703389",1.75
"SNP_A-1711455",2.27
"SNP_A-1709902",2.24
"SNP_A-1709764",2.22
"SNP_A-1709610",2.37
"SNP_A-1651757",2.1
"SNP_A-1652973",1.64
"SNP_A-1643872",2.29
"SNP_A-1656784",2.26
"SNP_A-1656896",2.12
"SNP_A-1657138",2.48
"SNP_A-1657898",1.1
"SNP_A-1675565",2.8
"SNP_A-1727317",2.33
"SNP_A-1646736",2.32
"SNP_A-1749074",2.48
"SNP_A-1749218",2.52
"SNP_A-1642575",1.81
"SNP_A-1754509",2.5
"SNP_A-1645657",2.09
"SNP_A-1645797",2.03
"SNP_A-1645927",2.22
"SNP_A-1647787",2.67
"SNP_A-1671138",2.73
"SNP_A-1753325",3.93
"SNP_A-1694582",1.9
"SNP_A-1694752",1.67
"SNP_A-1696479",2.16
"SNP_A-1701578",2.48
"SNP_A-1743482",2.03
"SNP_A-1743598",1.75
"SNP_A-1745333",2.12
"SNP_A-1652038",1.9
"SNP_A-1710746",1
"SNP_A-1711889",1.52
"SNP_A-1712060",1.56
"SNP_A-1713819",1.83
"SNP_A-1685358",1.96
"SNP_A-1724631",1.93
"SNP_A-1724817",2.07
"SNP_A-1646677",1.6
"SNP_A-1646795",1.51
"SNP_A-1693513",2.84
"SNP_A-1644464",3.03
"SNP_A-1653581",2.2
"SNP_A-1728187",2.58
"SNP_A-1681310",2.31
"SNP_A-1747269",2.38
"SNP_A-1707738",2.32
"SNP_A-1654513",2.1
"SNP_A-1667328",1.77
"SNP_A-1658976",1.75
"SNP_A-1653204",2.41
"SNP_A-1648900",2.32
"SNP_A-1708870",2.89
"SNP_A-1737964",2.39
"SNP_A-1753896",2.84
"SNP_A-1642753",1.68
"SNP_A-1730665",2.55
"SNP_A-1677562",2.17
"SNP_A-1645039",2
"SNP_A-1670159",2.11
"SNP_A-1688781",2.67
"SNP_A-1693682",2.57
"SNP_A-1693780",2.21
"SNP_A-1699076",2.02
"SNP_A-1652562",1.77
"SNP_A-1739234",2.85
"SNP_A-1740926",1.82
"SNP_A-1741200",2.28
"SNP_A-1643934",2.46
"SNP_A-1732824",1.84
"SNP_A-1754806",2.3
"SNP_A-1750022",2.09
"SNP_A-1753334",1.78
"SNP_A-1680975",1.53
"SNP_A-1681075",1.81
"SNP_A-1687986",1.92
"SNP_A-1658126",2.33
"SNP_A-1654823",1.77
"SNP_A-1705972",2.37
"SNP_A-1720418",2.11
"SNP_A-1720550",2
"SNP_A-1675437",3.19
"SNP_A-1751025",2.69
"SNP_A-1709517",2.87
"SNP_A-1704027",2.19
"SNP_A-1675185",1.65
"SNP_A-1656560",1.12
"SNP_A-1656666",1.64
"SNP_A-1656766",1.66
"SNP_A-1656882",1.66
"SNP_A-1658113",2.6
"SNP_A-1658293",1.73
"SNP_A-1698722",1.71
"SNP_A-1698834",1.81
"SNP_A-1700647",1.74
"SNP_A-1702050",1.96
"SNP_A-1745778",2.73
"SNP_A-1705696",1.8
"SNP_A-1705818",1.99
"SNP_A-1664202",2.05
"SNP_A-1642193",2.63
"SNP_A-1700344",2.37
"SNP_A-1754793",2.35
"SNP_A-1756528",2.27
"SNP_A-1694705",2.07
"SNP_A-1678736",1.47
"SNP_A-1726916",2.31
"SNP_A-1715487",2.18
"SNP_A-1643289",2.37
"SNP_A-1687700",3.14
"SNP_A-1729041",2.3
"SNP_A-1690995",2.02
"SNP_A-1691141",1.96
"SNP_A-1694418",2.35
"SNP_A-1644618",2.49
"SNP_A-1706632",1.73
"SNP_A-1660903",2.58
"SNP_A-1660131",2.48
"SNP_A-1688323",1.93
"SNP_A-1693796",1.3
"SNP_A-1697101",1.59
"SNP_A-1758119",1.96
"SNP_A-1737833",1.97
"SNP_A-1737945",2.07
"SNP_A-1726268",1.27
"SNP_A-1647584",2.5
"SNP_A-1656279",2.2
"SNP_A-1661256",1.97
"SNP_A-1685891",2.54
"SNP_A-1668921",2.31
"SNP_A-1689557",2.29
"SNP_A-1689786",2.36
"SNP_A-1691269",1.79
"SNP_A-1689056",2.81
"SNP_A-1681220",2.51
"SNP_A-1705795",2.16
"SNP_A-1716051",2
"SNP_A-1739951",2.19
"SNP_A-1649182",2
"SNP_A-1703839",2
"SNP_A-1734129",2.15
"SNP_A-1744280",1.74
"SNP_A-1744496",1.65
"SNP_A-1679655",2
"SNP_A-1682951",2
"SNP_A-1683067",2.35
"SNP_A-1728650",2
"SNP_A-1705715",2.42
"SNP_A-1757352",2.45
"SNP_A-1643234",1.94
"SNP_A-1724364",2.73
"SNP_A-1756084",2.29
"SNP_A-1662368",2.06
"SNP_A-1735472",1.67
"SNP_A-1673200",1.75
"SNP_A-1737119",1.71
"SNP_A-1736901",1.96
"SNP_A-1705457",1.49
"SNP_A-1659906",2.25
"SNP_A-1710449",2.08
"SNP_A-1658164",2.19
"SNP_A-1699717",2.89
"SNP_A-1683350",2.49
"SNP_A-1746701",2.08
"SNP_A-1742440",1.79
"SNP_A-1747408",2.34
"SNP_A-1742823",1.77
"SNP_A-1752968",1.58
"SNP_A-1753078",1.67
"SNP_A-1678753",1.29
"SNP_A-1678935",1.28
"SNP_A-1686149",1.87
"SNP_A-1687971",1.64
"SNP_A-1753991",1.47
"SNP_A-1642917",2.32
"SNP_A-1736663",2.12
"SNP_A-1742040",2.28
"SNP_A-1717389",1.41
"SNP_A-1747286",2.57
"SNP_A-1747396",2.27
"SNP_A-1688324",2.43
"SNP_A-1689989",2.27
"SNP_A-1714993",2.72
"SNP_A-1674078",1.59
"SNP_A-1723905",2.34
"SNP_A-1688560",3.5
"SNP_A-1683512",2.75
"SNP_A-1732390",1.37
"SNP_A-1682824",1.85
"SNP_A-1688200",2.21
"SNP_A-1702207",1.91
"SNP_A-1679446",2.32
"SNP_A-1665062",2.02
"SNP_A-1721173",1.87
"SNP_A-1674929",2.55
"SNP_A-1731683",2.16
"SNP_A-1668282",1.75
"SNP_A-1748879",1.8
"SNP_A-1676854",2.66
"SNP_A-1659232",1.35
"SNP_A-1719466",2.03
"SNP_A-1714543",2.6
"SNP_A-1666490",2
"SNP_A-1743968",2.29
"SNP_A-1749100",2.56
"SNP_A-1662638",2.42
"SNP_A-1752934",1.94
"SNP_A-1738639",3.3
"SNP_A-1756135",1.99
"SNP_A-1756241",2.23
"SNP_A-1685853",1.56
"SNP_A-1690983",2.05
"SNP_A-1691075",1.75
"SNP_A-1757219",1.77
"SNP_A-1757477",1.83
"SNP_A-1733360",1.84
"SNP_A-1673136",1.99
"SNP_A-1743038",2.06
"SNP_A-1743126",2.24
"SNP_A-1704443",2.05
"SNP_A-1685152",2.28
"SNP_A-1675838",1.72
"SNP_A-1753349",2.58
"SNP_A-1643603",1.79
"SNP_A-1683263",1.67
"SNP_A-1730638",1.88
"SNP_A-1735752",2.52
"SNP_A-1737919",2.33
"SNP_A-1739230",2.4
"SNP_A-1674523",2.03
"SNP_A-1687392",1.57
"SNP_A-1646634",1.6
"SNP_A-1747331",1.63
"SNP_A-1659041",2.31
"SNP_A-1665757",1.81
"SNP_A-1749183",2.55
"SNP_A-1709301",1.96
"SNP_A-1672959",1.58
"SNP_A-1673077",1.55
"SNP_A-1664805",2.66
"SNP_A-1664981",1.78
"SNP_A-1665105",1.42
"SNP_A-1651054",1.59
"SNP_A-1667770",1.87
"SNP_A-1739411",1.7
"SNP_A-1663504",1.44
"SNP_A-1693251",1.96
"SNP_A-1741952",1.22
"SNP_A-1743834",1.27
"SNP_A-1749079",2.09
"SNP_A-1741223",1.98
"SNP_A-1724560",2.72
"SNP_A-1687990",2.64
"SNP_A-1649416",2.22
"SNP_A-1688118",2.68
"SNP_A-1678671",1.73
"SNP_A-1692060",2.38
"SNP_A-1700867",2.22
"SNP_A-1729575",1.8
"SNP_A-1701537",3.01
"SNP_A-1668689",2.06
"SNP_A-1668816",1.93
"SNP_A-1674113",2.04
"SNP_A-1674234",1.86
"SNP_A-1674412",1.93
"SNP_A-1674580",1.59
"SNP_A-1674748",1.66
"SNP_A-1718058",1.93
"SNP_A-1742919",2.05
"SNP_A-1756757",1.55
"SNP_A-1654979",1.98
"SNP_A-1729217",2.26
"SNP_A-1730642",1.96
"SNP_A-1730750",2
"SNP_A-1663946",1.95
"SNP_A-1734467",1.97
"SNP_A-1658199",2.42
"SNP_A-1658489",1.64
"SNP_A-1754912",1.98
"SNP_A-1745636",2.06
"SNP_A-1721378",2.13
"SNP_A-1721511",2
"SNP_A-1724847",2.05
"SNP_A-1650803",1.96
"SNP_A-1751883",1.38
"SNP_A-1753305",2.46
"SNP_A-1736288",1.94
"SNP_A-1736456",1.84
"SNP_A-1736558",1.73
"SNP_A-1736834",1.95
"SNP_A-1717837",2.18
"SNP_A-1748101",2.02
"SNP_A-1677741",2.1
"SNP_A-1714166",2.54
"SNP_A-1725728",2.05
"SNP_A-1684809",1.62
"SNP_A-1685536",2.88
"SNP_A-1645654",2.46
"SNP_A-1673166",2.56
"SNP_A-1736050",2.06
"SNP_A-1685370",2.18
"SNP_A-1664837",1.88
"SNP_A-1666549",1.69
"SNP_A-1749355",1.24
"SNP_A-1741505",0.94
"SNP_A-1734600",2.1
"SNP_A-1749995",1.49
"SNP_A-1731678",2.37
"SNP_A-1744883",2.27
"SNP_A-1682486",1.82
"SNP_A-1667261",1.8
"SNP_A-1667371",2.03
"SNP_A-1676262",2.31
"SNP_A-1749517",1.88
"SNP_A-1649740",2.51
"SNP_A-1707791",2.08
"SNP_A-1731967",1.81
"SNP_A-1728923",2.59
"SNP_A-1693056",2.96
"SNP_A-1758178",1.7
"SNP_A-1653508",1.99
"SNP_A-1723723",2.33
"SNP_A-1739175",1.98
"SNP_A-1701360",2.18
"SNP_A-1701474",2.35
"SNP_A-1710609",1.73
"SNP_A-1714381",1.74
"SNP_A-1715724",1.95
"SNP_A-1718419",2.88
"SNP_A-1739535",2.7
"SNP_A-1645147",1.98
"SNP_A-1666214",3.03
"SNP_A-1749527",2.08
"SNP_A-1650359",2.33
"SNP_A-1650465",2.04
"SNP_A-1650875",2.1
"SNP_A-1744239",2.76
"SNP_A-1719527",2.91
"SNP_A-1670148",1.89
"SNP_A-1716227",2.17
"SNP_A-1709035",2.51
"SNP_A-1670191",2.34
"SNP_A-1718723",2.11
"SNP_A-1722972",1.99
"SNP_A-1754568",2.54
"SNP_A-1734723",1.83
"SNP_A-1735051",2.29
"SNP_A-1658975",1.97
"SNP_A-1660540",1.79
"SNP_A-1708012",1.98
"SNP_A-1644042",2.12
"SNP_A-1667655",1.96
"SNP_A-1671359",1.38
"SNP_A-1690695",2.02
"SNP_A-1738543",1.62
"SNP_A-1717831",2.74
"SNP_A-1715014",1.77
"SNP_A-1725635",2.12
"SNP_A-1725747",2.15
"SNP_A-1659914",3.08
"SNP_A-1664832",1.85
"SNP_A-1746595",1.75
"SNP_A-1650092",2.31
"SNP_A-1725184",2.04
"SNP_A-1665355",1.96
"SNP_A-1714269",2.08
"SNP_A-1673084",1.98
"SNP_A-1645207",1.62
"SNP_A-1702498",2.3
"SNP_A-1695741",2.02
